company_name,ticker,return_6m,volatility,avg_volume,up_ratio,cluster
Lululemon Athletica,LULU,-0.3618758561413875,0.03423361680993747,2486708.1639344264,0.48760330578512395,0
Waters Corporation,WAT,-0.052191386520393124,0.02354047467653513,514118.0081967213,0.49586776859504134,0
KeyCorp,KEY,0.025912838633686874,0.023678303889329736,14121468.983606558,0.5206611570247934,0
Ralph Lauren Corporation,RL,0.18448782173086875,0.03128654979038887,925643.0327868853,0.49586776859504134,0
Halliburton,HAL,-0.26505589614136316,0.030542037460037263,13623269.549180327,0.47107438016528924,0
Jacobs Solutions,J,0.0035193794898806807,0.016670100693277495,869289.0081967213,0.4628099173553719,0
Packaging Corporation of America,PKG,-0.1633368851003375,0.018916269553274797,892478.9180327869,0.47107438016528924,0
West Pharmaceutical Services,WST,-0.3337190535643594,0.04134890202716179,885465.2786885246,0.47107438016528924,0
Amcor,AMCR,-0.01711229946524062,0.015465553558116695,30582038.36885246,0.4628099173553719,0
Gartner,IT,-0.16362507759155798,0.017465813491519152,663857.6393442623,0.4793388429752066,0
GoDaddy,GDDY,-0.09476647730129206,0.02294819476178584,1486719.6147540985,0.49586776859504134,0
Pentair,PNR,0.022509960159362352,0.021399561695218644,1498731.7213114754,0.47107438016528924,0
Aptiv,APTV,0.13134328358208958,0.0253854428656226,3155037.549180328,0.5041322314049587,0
Centene Corporation,CNC,-0.10295818872913565,0.021037012430722132,4798581.557377049,0.47107438016528924,0
McCormick & Company,MKC,-0.0007907221929362995,0.016638433274351168,2336105.4590163934,0.48760330578512395,0
Southwest Airlines,LUV,-0.02786934372190586,0.029545695295586878,11913142.926229509,0.5371900826446281,0
Snap-on,SNA,-0.07140938796216167,0.017350075406342744,399310.3360655738,0.4793388429752066,0
Invitation Homes,INVH,0.0435889277760102,0.014301778051349488,3244994.5327868853,0.4628099173553719,0
Bunge Global,BG,0.03493618667010456,0.02019409081932709,1790571.0,0.48760330578512395,0
Erie Indemnity,ERIE,-0.15313797313797306,0.023306140857554027,152797.59836065574,0.512396694214876,0
Fortive,FTV,-0.06835184238650616,0.019502252726795493,3956383.7213114756,0.5206611570247934,0
Best Buy,BBY,-0.22095857026807475,0.03294697653607363,3716331.6721311477,0.4793388429752066,0
International Flavors & Fragrances,IFF,-0.11481526056083768,0.01913974106488128,1734185.0409836066,0.49586776859504134,0
Expeditors International,EXPD,0.03844755499000185,0.0198647763773042,1416174.5081967213,0.4793388429752066,0
Dow Inc.,DOW,-0.33046776232616937,0.029911093059887192,9114025.926229509,0.4132231404958678,0
Mid-America Apartment Communities,MAA,-0.029251656063487896,0.014947775723486819,899372.0491803279,0.48760330578512395,0
Omnicom Group,OMC,-0.16774641369736232,0.019401836358339173,3499813.581967213,0.48760330578512395,0
LyondellBasell,LYB,-0.20500137400384721,0.026376561629107915,3686766.3032786883,0.4628099173553719,0
C.H. Robinson,CHRW,-0.06645261724070828,0.01913183610276453,1324440.5163934426,0.48760330578512395,0
Zebra Technologies,ZBRA,-0.1964769647696476,0.03239005807251591,608228.6721311476,0.48760330578512395,0
Everest Group,EG,-0.06462444609583562,0.016767501655713574,425924.0081967213,0.4628099173553719,0
Deckers Brands,DECK,-0.4960887845898113,0.040245799907762975,3315634.9426229508,0.4628099173553719,0
Kimco Realty,KIM,-0.08489333913800612,0.017314079726146826,5017573.163934426,0.45454545454545453,0
Clorox,CLX,-0.25804856948649824,0.015448311295105023,1594523.68852459,0.47107438016528924,0
Hologic,HOLX,-0.09172010036241984,0.022752872837435757,3069674.7622950817,0.5041322314049587,0
Masco,MAS,-0.10136833286791402,0.022777829561867836,2112794.5901639345,0.48760330578512395,0
Cooper Companies (The),COO,-0.21508934480476505,0.02487516816797366,2171854.1147540985,0.48760330578512395,0
Builders FirstSource,BLDR,-0.17812367939146356,0.02938737182310373,1883977.1311475409,0.48760330578512395,0
J.B. Hunt,JBHT,-0.16121495327102797,0.02520433552955527,1141777.6475409835,0.48760330578512395,0
