Ticker,return_6m,volatility,avg_volume,up_ratio,early_return,mid_return,late_return,cluster
HON,-0.011679864311247234,0.013066185214409047,4080657.395348837,0.4921875,0.09628106834739047,-0.11042434612735408,0.0036200779335049393,3
HOOD,0.995439016418298,0.03869085546956623,39897724.03100775,0.578125,0.6818700281239942,0.11313419298657101,0.032535406525704635,2
HPE,0.29515669947255563,0.02205196411468377,23815382.945736434,0.5859375,0.148396377952841,0.17282765883218243,-0.07195123700473405,1
HPQ,-0.12530832529824587,0.020507247095338448,9806875.968992248,0.46875,-0.1329539969507363,0.13125795273648833,-0.12078849383376067,3
HRL,-0.2063704426097397,0.01832542918738576,3994810.07751938,0.5,0.03556325435268759,-0.15700807222318225,-0.07905704108354883,3
HSIC,0.019263676353428183,0.01858474317740925,1680245.7364341086,0.484375,-0.010844779057835097,-0.01597123180361959,0.06026417386185612,3
HST,0.16276751303148385,0.015573305375607083,9420279.84496124,0.4609375,0.055327943908118016,0.09962648897109849,0.01564945071803514,3
HSY,0.12599821168022474,0.017334815773349947,1686477.519379845,0.53125,0.024341264184457367,0.13841916475657134,-0.06222198763677944,1
HUBB,0.1293140227467342,0.015785683291030646,547904.0775193798,0.5078125,0.08850896092394733,-0.00113638821760087,-0.0010155620908659513,3
HUM,0.036268092218341375,0.02894690409902725,1831156.5891472867,0.5703125,-0.013325469913048282,0.21816146770465772,-0.11671682013198859,0
HWM,0.27645270510117825,0.016473150647642067,2633075.968992248,0.546875,0.1557757876431165,-0.006598665946157101,0.09719317854646348,1
IBKR,0.3015329625445591,0.021694669422270746,5835262.015503876,0.578125,0.17033981551995248,0.052662235723486495,0.059191508143681126,1
IBM,0.20027018166445698,0.01685376039810288,4912773.643410853,0.5625,0.09347616966085659,-0.08063438644462906,0.18641138877235552,1
ICE,-0.1107080598668515,0.010205642122805987,3050946.511627907,0.453125,0.05435570178506932,-0.05529835903602476,-0.11715525501179247,3
IDXX,0.35434410602255184,0.03133026461933015,527922.480620155,0.5234375,0.021887624362182834,0.24472247896551713,0.07656899860474198,0
IEX,-0.11682791632096978,0.01695265004403921,701489.9224806202,0.4296875,-0.038919316950216665,-0.10937164575862279,0.03513509932096004,3
IFF,-0.10661948195448578,0.016158663662604402,2050343.4108527133,0.5234375,-0.0001532244381080572,-0.14007732395371042,0.046998211984017546,3
INCY,0.7029104281511187,0.02051722686909481,1962703.100775194,0.578125,0.13194904397735963,0.2170002691425419,0.22818393605847853,1
INTC,0.6505576069794778,0.03683829362902775,105401900.0,0.5,0.054368032128542465,0.10833339049802371,0.42650606433464033,2
INTU,0.017904475387278573,0.015664323005829886,1800783.7209302327,0.515625,0.15150318039899924,-0.13777351264691795,0.0014194177978732458,3
INVH,-0.13566724968120014,0.01126241238696485,4046661.2403100776,0.4375,-0.02910328416035457,-0.08462486080681086,-0.032567956013975,3
IP,-0.2339185400016761,0.02255738532480545,4421078.294573643,0.46875,0.02907440241857895,-0.08283924587558289,-0.19445997573279628,3
IPG,0.014312489191259603,0.018217253448589522,6995855.03875969,0.4765625,0.01841083577394942,0.1060146902214496,-0.0559786481546839,3
IQV,0.555563314180409,0.024647793413098366,1869587.596899225,0.5234375,0.11860098150310372,0.14431851490715908,0.18169156208346693,1
IR,-0.09266848548710438,0.018358217977714402,3082772.8682170543,0.453125,0.034967562819749,-0.1143106576415428,-0.04443759446825035,3
IRM,-0.04431500225394225,0.017500934585475296,1519332.558139535,0.5234375,0.019199406417985676,0.02514318252884773,-0.08152392779132622,3
ISRG,-0.029031333012163762,0.020265742172413802,2119508.527131783,0.4921875,-0.09417957303431135,-0.15820671379658768,0.26714477960891525,3
IT,-0.48211164398485273,0.03187020015736977,1191151.1627906978,0.46875,-0.1849809872275625,-0.3058299373545674,-0.09014650108188249,0
ITW,0.00748765484336511,0.01116930389509129,1002652.7131782946,0.5,0.05401988621416187,0.016065202626216912,-0.06475902398780908,3
IVZ,0.5479081577510743,0.021062705448811635,5434001.550387597,0.5625,0.09043923107542073,0.29153842045042433,0.07026573827156213,1
J,0.24139585873593683,0.013250158084696958,790413.6589147287,0.546875,0.10488997829455582,0.051530325759234996,0.048268842247432,1
JBHT,0.10723068840093575,0.026611315298658674,1188842.6356589147,0.4453125,0.024004369185371743,-0.09467915941032923,0.2134620515471819,0
JBL,0.21084246927898698,0.022798444737781417,1409964.3410852712,0.5390625,0.30884987761383953,-0.0396951514574958,-0.055092699429352465,1
JCI,0.23664938209126407,0.014894504149039941,4530040.310077519,0.5390625,0.1174843567811017,-0.018265240197435806,0.1052974320173452,1
JKHY,-0.07180152475720658,0.01270040473597339,796451.9379844961,0.515625,0.0008833640783754149,-0.10859325612343351,0.026536522252830652,3
JNJ,0.3600721108524292,0.010113066061561702,8335711.627906977,0.59375,0.1355059093191202,0.0906568263928682,0.10569975197578496,1
JPM,0.15402734256011552,0.011163836330223019,8277724.80620155,0.59375,0.08115096824604007,0.06654013129340797,-0.021375862814859592,1
K,0.033194932813449096,0.006051731326747192,3081500.7751937984,0.5,-0.018289038828304127,0.0002959643720394922,0.059376962216697526,3
KDP,-0.15750596186985755,0.01921493041816792,15338577.519379845,0.4921875,0.022090458840382965,-0.20448511233820732,0.004200662320899218,3
KEY,0.0877000401148742,0.014939795043016747,22611001.5503876,0.5,0.09755956269959554,0.025007062511517297,-0.058257525311363745,3
KEYS,0.08877532681929234,0.016029386224386228,1009537.9844961241,0.5546875,-0.025538197954342534,0.05525579480269127,0.035567600290509205,1
KHC,-0.05801287823833101,0.01584740310009876,15520787.596899224,0.5078125,0.030343153377477172,-0.06467242590672806,-0.034201289406246005,3
KIM,-0.009601149777140994,0.01203847648312305,4239862.015503876,0.4765625,0.027024129241877803,0.03209747936719043,-0.06970390129684056,3
KKR,-0.06939703225936311,0.01972717730324965,3869382.9457364343,0.484375,0.10865698575927363,-0.020545679960325303,-0.16952906345057017,3
KLAC,0.4155591713348761,0.022845086224377354,1051459.6899224806,0.59375,0.16240638763080528,0.05938205766545335,0.1459282045969823,1
KMB,-0.20581148652797,0.017562093779168793,3109266.6666666665,0.4296875,-0.035055447708690735,-0.012808007285921907,-0.17174934567870936,3
KMI,0.020516126714856364,0.012386825229987014,13983179.84496124,0.5078125,0.016387487810541446,0.00027796771844590396,0.005811832986552856,3
KO,0.044181102160339325,0.009694791665875656,15757290.697674418,0.4609375,0.008711730357184644,-0.054426868180781574,0.061455887385404084,3
KR,0.02100269887237749,0.01588177961895305,7089194.573643411,0.4765625,0.08921552176817538,-0.0710443153670478,0.0015802947462759676,3
KVUE,-0.26587823680429734,0.02621466057081235,28136942.635658916,0.453125,-0.05818973451006115,-0.16229542166455524,-0.08016007878831788,0
L,0.1966642261593874,0.008891021979992022,785568.992248062,0.609375,0.041597401642353926,0.04093079142415412,0.07872716886563857,1
LDOS,0.25665188980949827,0.014495258041749465,940964.3410852713,0.5859375,0.05496542071166943,0.12456565519102902,0.04140370230684143,1
LEN,0.12720705034755397,0.021548889200290747,3443861.2403100776,0.5078125,0.014178805073739476,0.2197812137138666,-0.08531433894305984,0
LH,0.10724096901430125,0.01511656275700116,710340.3100775194,0.578125,0.0178612983004951,0.1114641344031202,-0.03325240856389078,1
LHX,0.3298853227236813,0.013254293824341299,1290859.6899224806,0.59375,0.20631749143133726,0.07538350318656639,0.026715495949106938,1
LII,-0.19886786590524574,0.020366143400376988,409960.4651162791,0.4453125,0.012109296653604495,-0.10043302078499772,-0.13417422619553976,3
LIN,-0.04456554301183757,0.009231514083790872,1914135.6589147288,0.4921875,0.034006943157973035,0.025328501916576318,-0.11768009925177048,3
LKQ,-0.2607434068983814,0.022446450472237527,2950879.069767442,0.5078125,-0.10474598453510298,-0.15030571507959245,-0.018000686670018196,3
LLY,0.4410395545403518,0.023569761959692355,4129629.4573643412,0.625,0.10601327460692489,0.006421058245809519,0.35080281322163676,1
LMT,0.051693741312029085,0.015927575025355946,1548463.5658914729,0.5625,0.056853826683175956,0.018287351742479974,-0.015535183842092959,1
LNT,0.13063634854193396,0.009196721236503738,1967214.7286821706,0.53125,0.03968902074049163,0.014238071167072652,0.06226592740833725,1
LOW,0.00734339603345302,0.013284965085398058,2750079.069767442,0.484375,-0.052120201115483655,0.2442068440178653,-0.14547394207865483,3
LRCX,0.7526467736625886,0.025156448815922643,11008654.263565892,0.6171875,0.18417969542689416,0.19525743148579977,0.2186444046285918,1
LULU,-0.45959981428955854,0.03185217839102497,4232960.465116279,0.4765625,-0.2840995338397372,-0.3041875700284966,0.044042067142220365,0
LUV,0.05781560018602461,0.023885912515975067,10327994.57364341,0.5234375,0.19902524580176695,-0.12949845966648688,0.02179329969542998,0
LVS,0.5549400745200197,0.023794639274678307,5235375.968992248,0.5703125,0.1579443731796517,0.06496242550719056,0.24541562966650066,1
LW,0.12284492263551283,0.02442882336886396,1974979.8449612404,0.5078125,-0.027426580541584866,0.1510553485164714,0.03056975885495028,0
LYB,-0.19665374403170655,0.025854735731567408,4669276.7441860465,0.4296875,0.08114646707535544,-0.14839448590279103,-0.15358746544088875,0
LYV,-0.04471945264915189,0.017481415688175128,2629563.565891473,0.5,0.044789727622785325,0.13070592349183285,-0.1978508323369219,3
MA,-0.04551035216103738,0.01215447262286803,2691951.9379844964,0.5390625,-0.02966844838266869,0.05545251229992543,-0.08716498164424935,1
MAA,-0.1551094299407454,0.011237650010180891,935624.8062015504,0.4609375,-0.040790588972913544,-0.07480417077877466,-0.05094910795928853,3
MAR,0.053546893296463116,0.014510891568214127,1435613.953488372,0.4609375,0.006291479484555662,-0.011145679215947668,0.09032632906067817,3
MAS,-0.07512375435483609,0.016926314010556134,2236944.96124031,0.4453125,-0.020063433036053402,0.11762491449417678,-0.15751651268371536,3
MCD,0.009835213549480581,0.009740350405780758,3300168.2170542637,0.515625,-0.022454491334892412,0.015453826780345903,0.006754754731115087,3
MCHP,-0.10523629849979632,0.024072195500905638,8414327.906976745,0.46875,0.2367023715787615,-0.12655840069713287,-0.18698691798899458,0
MCK,0.23692560293251574,0.014832731940055322,756664.3410852713,0.5703125,0.050077599205817336,-0.02252753728922774,0.2164712220256999,1
MCO,0.004643460808382516,0.013429774372614608,744334.1085271317,0.515625,0.04623056666987657,0.012912545622048022,-0.0630947080143871,3
MDLZ,-0.09163021072181099,0.013045202389417171,7626979.069767442,0.4921875,0.06926526937075983,-0.10171916771515244,-0.08773538287307103,3
MDT,0.15607990924230197,0.01147078426778657,7352065.116279069,0.578125,0.0744902584609004,0.052049702048388324,0.02132897163097236,1
MET,-0.0017033267219295212,0.013325516323935915,3189542.6356589147,0.5625,-0.04202627212220644,0.025891252513835283,0.006710555950241837,1
META,-0.0743438134625437,0.020317390968022243,13680594.57364341,0.4921875,0.06686914424993606,0.1106200284740273,-0.21379959284531458,3
MGM,-0.07095849751357053,0.02119931763189507,4828877.519379845,0.4296875,0.06723886760577713,-0.05882350552100524,-0.07990931203358054,3
MHK,-0.0027969704063290912,0.02215693514872211,797565.1162790698,0.4765625,0.015569626474780884,0.22939329683110965,-0.1852528939744288,3
MKC,-0.1003371844129668,0.014133101934340407,2496734.108527132,0.4765625,-0.02379013435369448,-0.06427777400495005,-0.015373198051796821,3
MLM,0.10551765941531532,0.01275248316487828,391568.2170542636,0.5390625,0.011329321883339016,0.10394718013177351,-0.021732355700343597,1
MMC,-0.17117347718821074,0.012798137782546445,2489856.589147287,0.484375,-0.047323689662314594,-0.06331495014774446,-0.069751500955473,3
MMM,0.1489436958614052,0.015622492976717861,3197907.7519379845,0.5390625,0.07067665397330214,-0.01142401571731444,0.08468730898259458,1
MNST,0.16901635341956966,0.014617764644028995,5748280.620155038,0.5625,-0.03852456514952618,0.11964805366838105,0.07200843591784256,1
MO,0.06792668193373763,0.012955055058435815,8434673.643410852,0.5546875,0.0630430020482502,0.1358639409046356,-0.11173871578113026,1
MOH,-0.5586291141734674,0.03740194714714566,1384867.441860465,0.4765625,-0.30665553897675146,-0.13610772607959765,-0.21994108681482138,0
MOS,-0.21658352986093332,0.02286601024848675,5220464.341085271,0.46875,0.06097106986004075,-0.03456608228017988,-0.23741219691386972,3
MPC,0.23674507756002994,0.01579814480284396,2098091.472868217,0.625,0.060093995686737234,0.056488930920610914,0.08284602370879468,1
MPWR,0.2580620558230875,0.027427381397088505,578510.0775193798,0.453125,-0.025512643169045446,0.20103148435036533,0.050306459118813374,0
MRK,0.2900150384413407,0.016864082015985677,13307764.341085272,0.546875,0.1331879695011342,0.004551118924244868,0.1451811543986743,1
MRNA,0.03122397942159849,0.03613412370890939,10920794.57364341,0.46875,0.33472109751474544,-0.22857144211072644,-0.00919998168945313,0
MS,0.26681085325326404,0.012465009207403576,5418478.294573643,0.5859375,0.066773552228925,0.11350225890288823,0.04731314341432702,1
MSCI,0.006961521212118571,0.01762250284017323,650991.472868217,0.5234375,0.012964411351583882,-0.019563025452069338,-0.02023728677975767,3
MSFT,0.13029726121478857,0.010188106666511593,20396575.96899225,0.5625,0.11835615823371137,-0.00356299127107762,0.0003137203748011519,1
MSI,-0.08032422391922156,0.012326373559680153,958304.6511627907,0.515625,0.005277993374237511,0.13509743981658384,-0.20481321307336375,3
MTB,0.023481600176953554,0.013204595400035987,1118121.7054263565,0.5,0.04607960188116755,0.0058457222278287535,-0.058610267028800234,3
MTCH,0.11012022792732923,0.01956401461538984,4163622.480620155,0.5234375,0.10200016923348376,0.15734163749507357,-0.13654133806986868,1
MTD,0.2552042677266819,0.018072964638931578,158140.3100775194,0.5234375,0.05939282087123643,0.0584068067297423,0.10135325997386047,1
MU,1.5935486798294916,0.030150411653148624,23132998.4496124,0.6171875,0.22261428408120354,0.40226035129325277,0.5437500232618218,2
NCLH,-0.05915635735274538,0.02829808322721959,15457362.015503876,0.4765625,0.18569951665785434,0.08389828433185031,-0.2793537620048173,0
NDAQ,0.08065729716709913,0.011866806382161922,3389964.3410852714,0.5859375,0.10186909331018335,0.031699133899959486,-0.06466161913783253,1
NDSN,0.15329441069698935,0.014306966632908428,350925.5813953488,0.53125,0.06293837067529173,0.043646860014833866,0.02964588133118795,1
NEE,0.1803934330200383,0.016551613208182585,10723066.666666666,0.5546875,0.04411970907807228,-0.06397993614073827,0.19300242022502534,1
NEM,0.818833147455972,0.025381105403837135,11609885.27131783,0.625,0.20681547866232464,0.36718059260765057,0.11577075012972582,1
NFLX,-0.03372745365052798,0.01746010553400669,34258703.1007752,0.4921875,0.0862909259925062,-0.057810161321004805,-0.09469268009734078,3
